S.No,Validator Name,Jan ,Feb,Mar,April,May,June ,July,August ,September,October,November,December
94,Cryptonomicon,2520.593752,2521.738763,1786.093614,1580.997923,2743.028399,1594.640505,1624.960945,2734.527752,2332.249501,3298.677145,914.9311774,931.9870243
95,Republic Crypto / Source,326685.6044,302581.9435,321152.7583,309257.8662,302318.4494,312264.0763,293895.4781,291535.0229,283917.2353,261731.8519,53319.49735,10305.29658
96,Wetez,3868.200916,3166.988981,2710.431963,2589.330637,2681.724177,2444.844946,2511.032789,2536.705897,2471.993152,2290.663615,975.2167604,817.9891894
97,Masternode24.de,1702.107667,1459.62452,1441.709351,1287.631893,1382.745457,1453.684182,1508.509245,1526.212909,1482.978777,1381.288723,858.9749343,794.3817018
98,SenseiNode,6.276660976,1.208428709,11.04493044,43.39188619,1435.491534,4889.990782,5093.681524,6203.70585,4945.583719,5389.320703,601.395912,246.9925758
99,Finoa Consensus Services,430.6851517,248.7113491,279.1435231,273.6371505,284.2790861,260.5753861,274.0760075,270.3590306,257.9177526,544.5343871,772.4376992,617.2808569
100,Simply Staking,446.438898,517.7492414,742.8098023,253.0602769,527.7305019,644.7498243,677.5336193,676.0693414,656.7468454,610.3563305,550.8089454,1073.103316
101,Anonymous 112,580.7726163,530.5822995,446.4372245,375.4539588,398.3253975,407.5785467,468.1980404,1187.720786,442.6278086,408.7465827,367.2685759,284.4395275
102,Blockops,357.3448789,299.0008279,360.7496351,301.7245974,311.2697359,310.6378514,321.1028218,317.2558261,302.4452782,637.3444339,596.7923967,963.5201167
103,Google Cloud,425.1394442,399.3397308,452.6730709,440.7606139,494.0628124,489.9737449,549.6299334,537.4719415,531.8231276,498.6216713,522.9432506,578.7958168
104,Anonymous 173,0,0,0,0,0,149.9185826,445.7763901,441.167568,415.4403185,384.7097361,344.9072347,362.8525362
105,BLRD,4186.854091,3845.275757,4055.626551,3401.461384,2778.704777,2785.001714,3970.978503,2870.373408,2794.39274,2594.828817,2341.65554,4231.470704
106,RYABINA,713.5273678,812.2661272,812.8437337,712.1195727,996.6934797,700.5257309,759.1613106,687.5356805,695.7975549,790.2844139,486.6186305,0
107,stake.new,2362.405076,812.5912758,816.8400815,1367.773101,4597.958116,3117.020921,3242.379168,3944.265704,3140.186434,3991.539662,427.0828198,0
108,Anonymous 171,90.26483239,2161.679561,4411.479685,4251.526145,4531.256227,2354.384547,0,0,0,0,0,0
109,Node172,0,0,0,0,167.4568979,278.7511651,0,0,0,0,0,0
110,WolfEdge Capital,14332.32924,11334.57018,7198.98901,4343.694189,4950.846698,0,0,0,0,0,0,0
111,Blockfly,563.8889518,0,0,0,0,0,0,0,0,0,0,0
112,Poly Finance,494.4251071,0,0,0,0,0,0,0,0,0,0,0
113,A41,4071.608181,0,0,0,0,0,0,0,0,0,0,0
114,Galacticans,240.7932501,0,0,0,0,0,0,0,0,0,0,0
