operator,name,totalStake,reward
dymvaloper1qm9jk0wekq2tnrzcmxmkx7w7plfj9a4a244p8t,💎🤲,36881920.37386716,62160.077854505190301227
dymvaloper1nd3qxp7xec90n9exr4ua3v26r940pl9n80mvfd,Big Brain Staking,36110651.099995375,30589.860101110127975749
dymvaloper1zetpjpuf9sd8mjtmajrrnjl5hnfagqv07ctzn6,Maxtake,26096149.410452355,295971.000000000000060727
dymvaloper1ndvrerl6q8ttg2932ps4jqj56akjrc3zd7f7qp,Hex Technologies,25576057.078787696,27920.590741499346969528
dymvaloper1fz6gwt0hug8hj5j74sf3vtj2vnjuzunk59ac6w,Cumulo,21369933.53293192,11373.498969522843642138
dymvaloper16vz54egcjh7du0wq04yssk6gzlefu6yw230gg6,MZONDER,17815559.33150387,7419.666375739084382445
dymvaloper1rd4099mt9e2kq0nces9maljqyva97wpuu6ppkr,Astral Nodes,16554097.642647266,25282.016281509728636639
dymvaloper1tdwdzhyxqd9mdnywfh6sc3dl3926rvnuqq98fh,alphab.ai,15004023.393737594,9464.059574748651319644
dymvaloper1t4fq50edupaeqfdx3lqu23panqmuf0mmq768zs,Twinstake,14657580.237944102,12298.188630443092777853
dymvaloper18kzrg5azahrspkyr9jym3gcqkmkl8shapjwy06,Decentrio,14294940.270207169,7501.000000000000004351
dymvaloper147x6wpqs9gm7zdhm5kv86sz69040764nrywad6,Fault Tolerance,14001998.581800967,3338.000000000000003338
dymvaloper1vr9j6wn93malnqp8kz5d8660sjpjktdsdmh5ug,Cosmostation,12179911.209409924,5326.897859253672640097
dymvaloper1hzcvcjmxts85rgk426x55czmscnzamdldr62h3,AndromedaPool,11063985.441829696,6838.651291790448954884
dymvaloper1f33a6vpcfdrg0cukwn89sd2mjkztaf7et0tnu0,Wetez,11022676.957253775,7025.585297350321063056
dymvaloper17uy3qg4upadxzd5q6ztcmcncm3n7hdtm8yrgrc,Blockscope.net,10915933.003143856,6952.692545300414112686
dymvaloper1ufh97qcc4ksupz07gzqdha72j3fwc5l27zhlv0,LuckyResearch.org,10811365.67481773,6877.618465424133939959
dymvaloper1taava3hdv33ps7es7yvwjx7x08lzz3s2mqfp6v,𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,10782240.30885031,5868.720171417406284953
dymvaloper1rnxezglxwhppgdh7n8yk5tcuenqqenvrxyhyue,Validatrium.com,10762452.61575547,6897.142652448753270884
dymvaloper10yu9ul3v8gqntv9h3z3nl09qs8dcguesfvar8a,Silk Nodes,10444874.716207849,4997.373150981299131827
dymvaloper1edyh6h0d8kyyv2lkgsdmxuf8qjv42lqf0zwpyc,Luganodes,10402335.454481145,5420.517993756583175285
dymvaloper1symf474wnypes2d3mecllqk6l26rwz8masyuth,BlockHunters 🎯,9800895.389248088,4702.709034833571420515
dymvaloper1ulez27lxpfrpnfqdtgjxgdhr6fz42mgppq8rzv,PRYZM | StakeDrop,8270762.728690658,4781.192689389989978342
dymvaloper1jpvku8u4al5kx4zm3hqm9j9faw3qhx6ss4ueq9,NodeStake,7139657.24247649,3048.879079480188451614
dymvaloper1vsef0kw7ng03w5evv6s3wzcf2nce85zccj44r4,Node.Monster,5728949.4559159605,7455.625612735740209566
dymvaloper1pnt0h7q2htmmxprdxgwx9qkatv8slydc2gekpg,polkachu.com,5336192.9499032125,3367.274761827790524391
dymvaloper1ema6flggqeakw3795cawttxfjspa48l4x0e2mh,Chorus One,5288794.325946719,5051.000000000000002178
dymvaloper1zx4p8utcjlzj2xuksxnvcj4r3cvdu2cxaqyn60,Enigma,4426063.048679426,2090.889359993822072342
dymvaloper127eg9tu95jqvphdz287qu00wcteqqj4h70eh8f,Range,4004410.1304080784,2429.000000000000001486
dymvaloper15ck9au82yp6rz36gvfnx3w5zpgspguttuvw5z8,Keplr,3518974.0292813336,2326.988766998896511043
dymvaloper1m6qqexve6afkr8v25895ccjegc0k2zeladeyhh,Encode Club,3504134.785719189,2827.000000000000001451
dymvaloper1s994z2zh3w5erccv38k0h962avesgcfznrxkfs,Nocturnal Labs,3465935.502217219,2996.460860928863907396
dymvaloper1h7222cz3y7hh9u9fym73a6xqw6keggkwgsq39a,KudasaiJP,3405185.6377972276,2419.284535254464093302
dymvaloper1swmv950astgu5k2j6jdkshhflqpq6yjfexed0y,ValiDAO,3311062.295190293,8048.000000000000001460
dymvaloper17kmuknu4f3sqfhqtzpx0znnz3nuh5slwcqz6cg,P2P.ORG,3196579.418522326,2703.089837868442980473
dymvaloper1l6j00uq22yf09yxju8mkx4c2kk7a6h42w6sc8t,Swiss Staking,2852025.067714596,2643.123478344757256416
dymvaloper10xs07qjkgv94rh6mhm6jppfeq79xf2j83ltw00,Samanvay,2649809.851490921,1127.641011839100626092
dymvaloper1yhzdxg49u0ce2e8pkagf6vlz6j3uhr8vdapfs0,Imperator.co,2582741.5461879782,3561.000000000000001114
dymvaloper1p7yzq8ltesa785yhq227urqcmfthvujy9v0srz,Forbole,2394771.090229067,1063.410614633817019526
dymvaloper1vmzs5lq0kanz96nmr86d05kx4y3nrhsshn6lqa,Stakecito,2326016.058496283,2044.000000000000000978
dymvaloper1skc8aut895jvg4hdxx7q89sus5x63ede6erjkj,NacionCrypto - Parceros,2114373.029320179,4709.000000000000000888
dymvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57za0rqa4, Lavender.Five Nodes 🐝,1976667.9757115208,870.638217303259383633
dymvaloper12qeeprgtt42ujha56pp4kcnv0hpfy0kgvzwqef,Qubelabs,1707664.9556437007,903.439742551107840610
dymvaloper1t7fxprq2m4p39u66knge4t6ftw3c8vqremwuuy,P-OPS Team,1597692.306950504,4336.000000000000000668
dymvaloper14zatq4jagqtm9ejgvglnv0t364d88u80h99m64,Frens (🤝 🤝),1509797.0889491579,3404.000000000000000646
dymvaloper1sadsshcnm9xxln6g6wewhxfh7tj6mhdyvrfpnu,HoodRun,1298557.342161434,1068.756630421434431390
dymvaloper1hpxp6c4vqnmcuyea437cxndnz0k8y6ag3cxsua,HFA X Defi Dojo,1278715.6660046384,1084.592618579753177157
dymvaloper1tvn903vynfslcfy5jvwt2n667vunx4y8qxrsf5,Bro_n_Bro,1222298.856439545,519.197808031385730531
dymvaloper19w9y9sj2h87n35jdeclhgpujyh4wr7pkgtrymh,Staking4All,1205154.9027914286,1580.000000000000000501
dymvaloper15un289g5slwzt77cpww53454lthfalpm3gsap0,Inter Blockchain Services,1164392.482554308,526.623230188610903398
dymvaloper1kve2h033l0076emw2agvj4z5d2c7f98809mclz,Brightlystake,1131421.4094314263,2372.000000000000000469
dymvaloper18mg35pdmzv52ukqznfetatj0v9p94w9smnp9yd,PathrockNetwork,1116840.7177023739,920.909663411931588403
dymvaloper1c6fykjedylh76ual2eymhdf0elqthmgke6lx2p,Wave,1082521.1384586745,1157.836841180231456000
dymvaloper1np8k8qumgekmj75pjz5rcqf483v9rlfxhjfnaq,silent,1076240.2381966556,1603.000000000000000450
dymvaloper192a6ttzqxu9hcmm6lh6nrv9jx7am27j9q7cyau,✅ CryptoCrew Validators,1051424.7919516,2045.000000000000000437
dymvaloper1pex4h49yyp6ypcaffjw54kqdfh68valv7ljpgu,NakoTurk,1051157.2545954208,893.451709466474804919
dymvaloper1eq8un3tcrhd85s39jlc734epqc2euzvzewuzg3,BwareLabs,1048697.5250642905,442.954157452699011981
dymvaloper1lsjs7pwll7pqm40namkyx3e5qdwg0v0swrshud,POSTHUMAN | StakeDrop,1011255.5407171489,531.333582776468100292
dymvaloper1ycsjsqqucdyvl2560y7y2yhfjaj0vvta4v7hm3,01node,968169.4566611425,1113.000000000000000401
dymvaloper14hgapjkvp53fvpsu8exfe4c76z7wje6kkej429,kooltek68,963748.9769707865,838.638452649095191165
dymvaloper1th3wvhwjm9nn46a735gv37508hua8p9ekkz7f8,BoJack,950585.6147875204,731.413366869320276090
dymvaloper1en26ajexy4zvm6gpvfpyukuvvzmes20nvjzzpe,BinanceNode,901042.5850176676,801.000000000000000373
dymvaloper1vtf9ytvqg8k7n3hx7rt7fezktg7przxmeduldc,AVIAONE.com 🟢,895881.4292752509,385.280271822991503317
dymvaloper16ltrfvx4d707vnmg7saaduedr647rcmj3gxsyt, kjnodes.com 🦄,891743.3931778205,372.471687868339285571
dymvaloper15yh22qgvswsa4hg7k3ga8759m5s56a8mur5lls,Staked,846439.9662154762,341.207995957736133951
dymvaloper1ywytnstry8v5ltd5z403edqplguejs7mqpe52l,Provalidator,833858.1353764326,737.000000000000000352
dymvaloper1gd3n56lfg5nc7fgzsk7elzyl8d4nk8cuy4kprg,NIM NETWORK,819887.0438704126,713.534575266811919072
dymvaloper1h6tsxct5wy62d5yvaenkysywrz42thp3nma052,Moonlet,815152.4080169442,1739.000000000000000338
dymvaloper1n7g5mymqankqqvdt6nc9qt89vrjs899kunflht,HashKey Cloud,805645.402400952,3170.000000000000000667
dymvaloper1p3rmldcg8tpk26p67zv6z7u56yhtl2zsyfj8mx,Kalia Network,762725.0644073263,640.000000000000000317
dymvaloper1thw8t8skc07sj5fyh9ggw4qachft6h8p9h4qwv,Huginn,761993.7227458032,316.155625309440022570
dymvaloper1j9srl2kx3g7jkzd9zdekp48nha8zvlj46ac0vc,Restake,752746.0161124321,1922.000000000000000562
dymvaloper1z8dewhura5yswqevj6733yaae0v0lhgp4uh7nq,Nodes.Guru,714644.6693019605,1162.944794278848586320
dymvaloper16eu7dmkxrtq5207tyudx8agnlu8k5qua7vqs4y,Active Nodes,711918.6980601773,519.025986961296599566
dymvaloper1vgptdq22lpjcdeh9a5fp29uzf3xuw93kl2pa3c,StingRay,711319.7846186568,300.874333671240479959
dymvaloper1xt4rtmvqq3pavwjqdgxh74ppczfj2h084rj58s,Coinstamp,681232.2543574354,354.453524798507151072
dymvaloper1ptqatglfxu7c9nnu30fr4v0j9k3h35sd2zh7nd,Meria,670155.6854438263,560.963766941765191368
dymvaloper128sljm393cl62zwttfdkm65pkaz56gt0zf79sp,Pro-Nodes75,663755.986562941,450.493830212326542619
dymvaloper1p87xgcekkkpp783xl5wu48p0dw2p2duru5ul9n,CoinHunters,658943.9949690284,274.393478838518863230
dymvaloper1amxp0k0hg4edrxg85v07t9ka2tfuhamhldgf8e,🔥STAVR🔥 REStake ON✅,655856.8901847096,287.644639301170832024
dymvaloper1fg7n4w7ffg7vdn5kuaesfkpsg69dyjkgeutq3y,Crosnest,649561.8581761556,306.392934931554621452
dymvaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje98tnj5qa,Kahuna,618553.3516413188,2339.851830583061435388
dymvaloper19ht2v27n4uw37x3jp8pdkwccs26l8zxfe0tjwp,SECARD,602552.2204609982,581.977844736093573140
dymvaloper12dcwljddj8u4402lt08quyxvh6vh7aj5umujct,Lefey,598090.303207594,254.643093126301000181
dymvaloper17pnxdyj9th042zfk9ehxwk5hn3hxz2frvysm3k,ContributionDAO,593956.8117593286,1038.000000000000000246
dymvaloper1c8c8a7en2qffh83mqw0t2fq7ey7ln5l765qmhd,AutoStake 🛡️ Slash Protected,591402.4843483621,381.141470467593980838
dymvaloper1xlnlh2uxsg3wl0skudqeeykkh4ku69jeaw6n9l,Rues,558438.3756409033,453.494223859283147948
dymvaloper1mgu88mkl88q5l9h6wvzus7ul2fc263g4hpt2mj,VNBNODE,557118.726355111,484.277552232959035242
dymvaloper1jdspdmphxkn4mjvpfxz4wemwz9lecvf0wguats,TAKESHI,527922.8714375425,224.612129859769573773
dymvaloper1cxgzx0e4w2ryalgtee2yfqwppg4xgfdy63p4h0,NODEJUMPER,526564.1220963844,308.792477451115827062
dymvaloper1ta56hcqaxj55wu8emarnw090gk5uq4366uz572,[NODERS],512655.3087865486,489.432782032155088813
dymvaloper1d6frzdlgq8tq5hsmpty7hcnl0jf9q3pjcgz2t6,AgoraNodes,509572.9966047756,265.000000000000000211
dymvaloper1t69jjaa75suk35eda0fd2zjpqkr6qq4jjl87pq,jayjay,496729.37998650724,246.009356713681357052
dymvaloper1qy47z0x6umvjpejvvp32red2qvkcc4jgvel5vz,Tecnodes,479469.6121650173,199.472313661480617260
dymvaloper1rfvyaaz3vudpsgjn6rtrjh85t0fjrggxr32nce,Stake&Relax 🦥,476662.90345169004,405.469819032146997360
dymvaloper139fgwkjyxz8056mqrf3gqfm39wenkvv4z0sah2,BloClick,476271.56422263384,198.428389426822525766
dymvaloper1dg73hcnt00uhsuffakkjyth8qz2un40486h92f,1ce,470417.1210538316,204.070423527325845045
dymvaloper14dma5d4fyk4jpyqnq3gu3u3amyqczn0jzfrws2,Allnodes,417333.17586006824,588.000000000000000174
dymvaloper1pncst8xyy86956pgjejk4yfnn7ls89dzhkmw5f,Jaha,403642.9181752803,277.000000000000000157
dymvaloper1her95p3up7kf4eqprd0hmdn8w860w87qkecmmm,Kynraze,396872.28423321794,284.240671374111755403
dymvaloper127chaf96mtdz33aqqnqmgnxtuas9d78pdalr5j,CroutonDigital,374645.4955691187,439.655143328366468702
dymvaloper18sz4e4ahphh9mjj62gug20h2ka0g5e5pajcmz9,⭐️ PPNV Service ⭐️,373047.01138968725,424.151556585146032439
dymvaloper1dq745p6w7juw6s8xwh8xethfxwxn9uv0efu3cr,deNodes,326758.57016495615,6.786115487951910908
dymvaloper1e34nfdhhk7t5lh37shj4fymrhne9hs5mcth3h8,F5 Nodes,173131,4.000000000000000000
dymvaloper1nk4vsmte3yr4ku28cr56xlgfvaz058fn49hkxa,Hexnodes,16474.52506382597,0.000000000000000000
dymvaloper1qlurl7qwvv8whj46h29pzej0ymqn7ts0ct7459,StakeUp,4678.108590916958,0.000000000000000000
dymvaloper1fy8uv0aqr7t5uvhdus9qhg5myepagvrk7sct9x,Smart Stake 📈📊,1451,
dymvaloper1ls3yrfn5te2gcc3mxcj5xpg07cfh6r3qn076vu,Cosmostaking,2,
dymvaloper1u9xeaqdjz3kky2ymdhdsn0ra5uy9tc3ezrzymt,Kiln,1,0.000000000000000000
dymvaloper1h2gtpt759se852squgywf5zl2jv9q6qsxj3e0h,jardeux,0,
dymvaloper1ufc9rudgvh7fh29p7pazld3zxt2tnpe4knwr6z,Equinox,0,
dymvaloper1n5lavsd8qhtfwr5w4svd68kvu5s9gjxs50jqts,monivong,0,
dymvaloper1s60cwqtxxa2c5srqh886rt9v9m6w9q4nwyr990,intruder,0,
