operator,name,totalStake,reward
dymvaloper1t4fq50edupaeqfdx3lqu23panqmuf0mmq768zs,Twinstake,40885637.437707506,10104.117314271892921472
dymvaloper1nd3qxp7xec90n9exr4ua3v26r940pl9n80mvfd,Big Brain Staking,35864326.465433635,9865.112475771662903055
dymvaloper147x6wpqs9gm7zdhm5kv86sz69040764nrywad6,Fault Tolerance,33507481.774137497,21899.384789580729235758
dymvaloper1qm9jk0wekq2tnrzcmxmkx7w7plfj9a4a244p8t,💎🤲,32647078.691496313,18652.473537056163637854
dymvaloper18kzrg5azahrspkyr9jym3gcqkmkl8shapjwy06,Decentrio,32630201.535501834,26105.301368996393737420
dymvaloper1kugynr06tvqxlgqqv4cx6umdn087mc0qdqwznt,Sanchezz,32350927.594110645,8799.791852650998391708
dymvaloper1zetpjpuf9sd8mjtmajrrnjl5hnfagqv07ctzn6,Maxtake,30018389.924178008,505414.000000000000020236
dymvaloper1m6qqexve6afkr8v25895ccjegc0k2zeladeyhh,Encode Club,26556777.048951324,15236.137436345323019191
dymvaloper1ndvrerl6q8ttg2932ps4jqj56akjrc3zd7f7qp,Hex Technologies,25445039.632370412,8159.552573308247488396
dymvaloper1eq8un3tcrhd85s39jlc734epqc2euzvzewuzg3,BwareLabs,20334916.655921064,9021.000000000000004112
dymvaloper1rd4099mt9e2kq0nces9maljqyva97wpuu6ppkr,Astral Nodes,20082961.277546838,12457.065498555554884131
dymvaloper17uy3qg4upadxzd5q6ztcmcncm3n7hdtm8yrgrc,Blockscope.net,19002766.83154561,2748.000000000000002563
dymvaloper1fz6gwt0hug8hj5j74sf3vtj2vnjuzunk59ac6w,Cumulo,16812412.40267542,2289.164532474740014770
dymvaloper1symf474wnypes2d3mecllqk6l26rwz8masyuth,BlockHunters 🎯,15267046.058476936,2541.609841460222911321
dymvaloper1ls3yrfn5te2gcc3mxcj5xpg07cfh6r3qn076vu,Cosmostaking,15025610.201776,3950.947444315639904078
dymvaloper1ufh97qcc4ksupz07gzqdha72j3fwc5l27zhlv0,LuckyResearch.org,12082930.761988515,1709.000000000000001629
dymvaloper1vr9j6wn93malnqp8kz5d8660sjpjktdsdmh5ug,Cosmostation,11436928.133248629,2912.310295048082871363
dymvaloper1taava3hdv33ps7es7yvwjx7x08lzz3s2mqfp6v,𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,10752508.519264482,1556.000000000000001450
dymvaloper1rnxezglxwhppgdh7n8yk5tcuenqqenvrxyhyue,Validatrium.com,10426255.440283213,2726.298385389160424309
dymvaloper1f33a6vpcfdrg0cukwn89sd2mjkztaf7et0tnu0,Wetez,10416836.081426011,3780.110768295564193893
dymvaloper10yu9ul3v8gqntv9h3z3nl09qs8dcguesfvar8a,Silk Nodes,9851014.993663121,1482.000000000000001331
dymvaloper16vz54egcjh7du0wq04yssk6gzlefu6yw230gg6,MZONDER,8299945.848654744,1348.957255432027143589
dymvaloper1jpvku8u4al5kx4zm3hqm9j9faw3qhx6ss4ueq9,NodeStake,6633433.3245885335,982.637250130693591279
dymvaloper1vsef0kw7ng03w5evv6s3wzcf2nce85zccj44r4,Node.Monster,5686610.987292735,2300.135264106591269575
dymvaloper1pnt0h7q2htmmxprdxgwx9qkatv8slydc2gekpg,polkachu.com,5255912.732019348,1368.000000000000000712
dymvaloper1ulez27lxpfrpnfqdtgjxgdhr6fz42mgppq8rzv,PRYZM | StakeDrop,5205265.228933559,871.067310756580874532
dymvaloper1vmzs5lq0kanz96nmr86d05kx4y3nrhsshn6lqa,Stakecito,4854866.666619162,2489.000000000000000662
dymvaloper1ema6flggqeakw3795cawttxfjspa48l4x0e2mh,Chorus One,4237616.025999475,1043.983532468697561550
dymvaloper127eg9tu95jqvphdz287qu00wcteqqj4h70eh8f,Range,4008899.844112354,2844.000000000000000540
dymvaloper1zx4p8utcjlzj2xuksxnvcj4r3cvdu2cxaqyn60,Enigma,3485743.7254557735,792.326968509396560494
dymvaloper1s994z2zh3w5erccv38k0h962avesgcfznrxkfs,Nocturnal Labs,3258414.8022772586,1094.874509888424631427
dymvaloper10xs07qjkgv94rh6mhm6jppfeq79xf2j83ltw00,Samanvay,3231177.3865510547,463.037133674173752129
dymvaloper1h7222cz3y7hh9u9fym73a6xqw6keggkwgsq39a,KudasaiJP,3217003.200182501,462.285061727836117399
dymvaloper15ck9au82yp6rz36gvfnx3w5zpgspguttuvw5z8,Keplr,2961655.524603285,676.297625337066104613
dymvaloper17kmuknu4f3sqfhqtzpx0znnz3nuh5slwcqz6cg,P2P.ORG,2867081.9226213675,402.197651549261115412
dymvaloper1x4dhky07zxuaew2ru7tgvtd68vjk3x56w5p5lh,The_Cybernetics,2639470.18865696,379.367422018214369257
dymvaloper1tdwdzhyxqd9mdnywfh6sc3dl3926rvnuqq98fh,alphab.ai,2545617.8143567527,2942.107227825659934294
dymvaloper1swmv950astgu5k2j6jdkshhflqpq6yjfexed0y,ValiDAO,2382118.7993520875,642.565599104095106350
dymvaloper1l6j00uq22yf09yxju8mkx4c2kk7a6h42w6sc8t,Swiss Staking,2304112.1443503965,320.872520079124409230
dymvaloper1gew0wjyl2praxsu8n3fq939hfchtrymeapue7k,StakeCapital,2300280.440777,364.000000000000000310
dymvaloper1skc8aut895jvg4hdxx7q89sus5x63ede6erjkj,NacionCrypto - Parceros,2272153.8016782766,7632.000000000000000308
dymvaloper1t7fxprq2m4p39u66knge4t6ftw3c8vqremwuuy,P-OPS Team,2168558.6542731063,6874.000000000000000293
dymvaloper1vtf9ytvqg8k7n3hx7rt7fezktg7przxmeduldc,AVIAONE.com 🟢,1931782.4257512335,269.225024374728351722
dymvaloper15un289g5slwzt77cpww53454lthfalpm3gsap0,Inter Blockchain Services,1756527.9219907625,280.000000000000000237
dymvaloper192a6ttzqxu9hcmm6lh6nrv9jx7am27j9q7cyau,✅ CryptoCrew Validators,1692638.985339358,1337.000000000000000229
dymvaloper1yhzdxg49u0ce2e8pkagf6vlz6j3uhr8vdapfs0,Imperator.co,1456421.8781442707,2789.000000000000000202
dymvaloper1p7yzq8ltesa785yhq227urqcmfthvujy9v0srz,Forbole,1393998.7281684212,201.701005427106210342
dymvaloper12qeeprgtt42ujha56pp4kcnv0hpfy0kgvzwqef,Qubelabs,1322448.8073048994,220.865616760433541539
dymvaloper1sadsshcnm9xxln6g6wewhxfh7tj6mhdyvrfpnu,HoodRun,1166427.7412535392,754.000000000000000158
dymvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57za0rqa4, Lavender.Five Nodes 🐝,1067503.83956849,1009.000000000000000146
dymvaloper1gd3n56lfg5nc7fgzsk7elzyl8d4nk8cuy4kprg,NIM NETWORK,1015704.205488193,916.730024491480187459
dymvaloper1en26ajexy4zvm6gpvfpyukuvvzmes20nvjzzpe,BinanceNode,1002508.9615624768,158.847564350877793325
dymvaloper128sljm393cl62zwttfdkm65pkaz56gt0zf79sp,Pro-Nodes75,963566.6363328425,132.905807233655376359
dymvaloper1lsjs7pwll7pqm40namkyx3e5qdwg0v0swrshud,POSTHUMAN | StakeDrop,951308.6503069256,179.653634168270872485
dymvaloper1np8k8qumgekmj75pjz5rcqf483v9rlfxhjfnaq,silent,922005.1616000861,152.000000000000000126
dymvaloper14zatq4jagqtm9ejgvglnv0t364d88u80h99m64,Frens (🤝 🤝),920083.9088412371,389.000000000000000128
dymvaloper15yh22qgvswsa4hg7k3ga8759m5s56a8mur5lls,Staked,888162.4655027174,116.118074492739429190
dymvaloper1xlnlh2uxsg3wl0skudqeeykkh4ku69jeaw6n9l,Rues,886158.8416940916,203.631504032238167183
dymvaloper1tvn903vynfslcfy5jvwt2n667vunx4y8qxrsf5,Bro_n_Bro,682998.866104437,108.275982683686341647
dymvaloper16ltrfvx4d707vnmg7saaduedr647rcmj3gxsyt, kjnodes.com 🦄,664115.6622672596,108.132183210556464288
dymvaloper18mg35pdmzv52ukqznfetatj0v9p94w9smnp9yd,PathrockNetwork,646135.9773078614,87.634800633637003915
dymvaloper1pex4h49yyp6ypcaffjw54kqdfh68valv7ljpgu,NakoTurk,550169.950377306,149.147157385502286720
dymvaloper1ycsjsqqucdyvl2560y7y2yhfjaj0vvta4v7hm3,01node,549798.9370169826,2109.000000000000000074
dymvaloper1amxp0k0hg4edrxg85v07t9ka2tfuhamhldgf8e,🔥STAVR🔥 REStake ON✅,541658.7184827693,75.130093438651526726
dymvaloper1kve2h033l0076emw2agvj4z5d2c7f98809mclz,Brightlystake,529544.0760276912,3431.000000000000000071
dymvaloper1ta56hcqaxj55wu8emarnw090gk5uq4366uz572,[NODERS],515590.23412610113,145.000000000000000138
dymvaloper16eu7dmkxrtq5207tyudx8agnlu8k5qua7vqs4y,Active Nodes,509752.33086761594,197.000000000000000069
dymvaloper1d6frzdlgq8tq5hsmpty7hcnl0jf9q3pjcgz2t6,AgoraNodes,508341.417998689,71.073230280222527728
dymvaloper1vgptdq22lpjcdeh9a5fp29uzf3xuw93kl2pa3c,StingRay,504186.3829930482,85.000000000000000068
dymvaloper1fy8uv0aqr7t5uvhdus9qhg5myepagvrk7sct9x,Smart Stake 📈📊,501852.99189983594,82.574196270758303774
