S.No,Validator Name,Column 1,January,February,March,April,May,June,July,August,September ,October,November,December,January,,Sum
80,CHAIN DIGITAL,,,,,,,,,,,,,,2629.167137,,2629.167137
81,TrustedPoint,,,,,,980.00098,2383.001403,3714.186839,2276.49882,1980.001295,3211.156451,1908.001328,3668.013194,2396.001937,,22516.86225
82,via lacTIA,,,,,,,,,,,,5984.316277,17720.19117,9769.171406,,33473.67885
83,Goose,,,,,,,,,,,,,,331.000331,,331.000331
84,itrocket,,,,,,1920.472035,3656.646356,2672.084534,4048.011718,4458.86088,4214.227972,3256.710801,3227.49379,3006.002494,,30460.51058
85,Colossus,,,,,,,,48.000048,589.480077,835.000711,1563.547835,755.000742,1493.619814,1083.000795,,6367.650022
86,StakeTown,,,,,,979.960258,2249.593884,2187.67022,3215.479939,3272.857883,3326.373486,3264.525787,2871.001916,5370.001351,,26737.46472
87,node101,,,,,,980.21029,2258.001404,3592.001378,4969.001378,6266.001296,7497.001273,8827.00133,10131.00135,11514.64393,,56034.86363
88,F5 Nodes,,,,,,979.914933,2123.001404,3456.391923,1786.725281,1821.563596,2467.743984,2905.911578,2511.022605,2719.283062,,20771.55837
89,Dora Factory PGS,,,,,,1959.001959,4764.002805,7425.502211,3870.574908,3050.721658,3259.212182,3047.157018,4036.0671,4102.943981,,35515.18382
90,ChainTrails | ðŸ› ï¸,,,,,,,,,,,,,,2629.479814,,2629.479814
91,ValiDAO,,,,,,992.000992,2968.001976,4884.001978,7307.550558,4683.76235,4444.002307,6905.62133,4782.281406,5153.886804,,42121.1097
92,TTT VN,,,,,,,,,,,,,,2629.256493,,2629.256493
93,CroutonDigital,,,,,,,,,,1957.001957,4416.002541,7071.002655,9673.002688,12439.00277,,35556.01261
94,MyStake,,,,,,984.000984,2394.00141,3731.001382,5113.001382,6413.0013,7647.001275,8979.533159,2018.00135,3406.001389,,40685.54363
95,iqlusion,,,,,,,,,,,,339.000339,775.000451,1256.000481,,2370.001271
96,DTEAM,,,,,,,,,,1759.418682,2405.683936,2716.656769,2932.965302,3172.628956,,12987.35365
97,Polychain,,,,,,,,,,,,20106.86241,85708.5623,88205.35934,,194020.7841
98,project blanc,,,155.788964,1313.076541,1368.575592,2071.904023,2703.282222,4916.282222,4630.897982,2843.757168,2406.752815,2586.505513,2968.320961,1348.604471,,29313.74847
99,Decentrio,,,,11.000011,813.000802,2087.17521,2477.040303,1904.001217,3121.001217,4266.95935,2092.001125,3266.001175,4418.001189,5642.001224,,30098.18282
100,Tane,,,,,,,,,,,,,,2629.432506,,2629.432506
