operator,name,totalStake,reward
dymvaloper1nd3qxp7xec90n9exr4ua3v26r940pl9n80mvfd,Big Brain Staking,36040963.09945542,20472.041144477251981948
dymvaloper1qm9jk0wekq2tnrzcmxmkx7w7plfj9a4a244p8t,💎🤲,34369677.0034539,43091.217128658854521065
dymvaloper1zetpjpuf9sd8mjtmajrrnjl5hnfagqv07ctzn6,Maxtake,34185181.792014256,387925.000000000000047077
dymvaloper1ndvrerl6q8ttg2932ps4jqj56akjrc3zd7f7qp,Hex Technologies,25523729.182198968,18353.310863538106698848
dymvaloper1rd4099mt9e2kq0nces9maljqyva97wpuu6ppkr,Astral Nodes,25181356.113374326,26546.613259629185986975
dymvaloper147x6wpqs9gm7zdhm5kv86sz69040764nrywad6,Fault Tolerance,22508901.25094036,12092.406625698022577447
dymvaloper1eq8un3tcrhd85s39jlc734epqc2euzvzewuzg3,BwareLabs,15943023.988434352,8846.569563253305360405
dymvaloper1t4fq50edupaeqfdx3lqu23panqmuf0mmq768zs,Twinstake,15428660.186751489,8722.693885545550976904
dymvaloper1fz6gwt0hug8hj5j74sf3vtj2vnjuzunk59ac6w,Cumulo,15408210.085988674,4467.487664696633351250
dymvaloper1ls3yrfn5te2gcc3mxcj5xpg07cfh6r3qn076vu,Cosmostaking,15007903.053695496,7481.682679649981650679
dymvaloper18kzrg5azahrspkyr9jym3gcqkmkl8shapjwy06,Decentrio,14185856.722879559,16247.551014443491749203
dymvaloper1vr9j6wn93malnqp8kz5d8660sjpjktdsdmh5ug,Cosmostation,12020477.256259965,8746.817019552414011564
dymvaloper1tdwdzhyxqd9mdnywfh6sc3dl3926rvnuqq98fh,alphab.ai,11871166.559498703,4559.000000000000003300
dymvaloper1f33a6vpcfdrg0cukwn89sd2mjkztaf7et0tnu0,Wetez,11005645.981265403,4440.000000000000003058
dymvaloper17uy3qg4upadxzd5q6ztcmcncm3n7hdtm8yrgrc,Blockscope.net,10797723.809616543,4422.000000000000003002
dymvaloper1taava3hdv33ps7es7yvwjx7x08lzz3s2mqfp6v,𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,10775757.040746264,4394.000000000000002993
dymvaloper1ufh97qcc4ksupz07gzqdha72j3fwc5l27zhlv0,LuckyResearch.org,10710063.585923547,4390.000000000000002980
dymvaloper1rnxezglxwhppgdh7n8yk5tcuenqqenvrxyhyue,Validatrium.com,10657941.177994333,5968.007881292106188071
dymvaloper1edyh6h0d8kyyv2lkgsdmxuf8qjv42lqf0zwpyc,Luganodes,10415085.328096082,5526.000000000000002892
dymvaloper10yu9ul3v8gqntv9h3z3nl09qs8dcguesfvar8a,Silk Nodes,10400886.722017685,7086.000000000000002891
dymvaloper1symf474wnypes2d3mecllqk6l26rwz8masyuth,BlockHunters 🎯,9784113.34423796,3697.344492478895307377
dymvaloper16vz54egcjh7du0wq04yssk6gzlefu6yw230gg6,MZONDER,9665566.219458967,2705.926097699519169987
dymvaloper1ulez27lxpfrpnfqdtgjxgdhr6fz42mgppq8rzv,PRYZM | StakeDrop,7462798.25934467,2622.059390335569536392
dymvaloper1jpvku8u4al5kx4zm3hqm9j9faw3qhx6ss4ueq9,NodeStake,6909341.500299449,2958.081756744931359593
dymvaloper1vsef0kw7ng03w5evv6s3wzcf2nce85zccj44r4,Node.Monster,5719405.246557342,5102.274856187763053665
dymvaloper1pnt0h7q2htmmxprdxgwx9qkatv8slydc2gekpg,polkachu.com,5151612.3917380115,2223.714336163704436150
dymvaloper1m6qqexve6afkr8v25895ccjegc0k2zeladeyhh,Encode Club,4755866.801983098,5408.000000000000001321
dymvaloper1ema6flggqeakw3795cawttxfjspa48l4x0e2mh,Chorus One,4350142.582187196,2287.000000000000001205
dymvaloper1zx4p8utcjlzj2xuksxnvcj4r3cvdu2cxaqyn60,Enigma,4130987.6817988656,1452.515253753776339754
dymvaloper127eg9tu95jqvphdz287qu00wcteqqj4h70eh8f,Range,4004859.9183476297,4887.000000000000001112
dymvaloper1s994z2zh3w5erccv38k0h962avesgcfznrxkfs,Nocturnal Labs,3334532.3347785035,1983.039346544271509975
dymvaloper15ck9au82yp6rz36gvfnx3w5zpgspguttuvw5z8,Keplr,3316607.3197724363,1589.004828921523227587
dymvaloper1h7222cz3y7hh9u9fym73a6xqw6keggkwgsq39a,KudasaiJP,3277938.4402684574,937.001738141213636097
dymvaloper17kmuknu4f3sqfhqtzpx0znnz3nuh5slwcqz6cg,P2P.ORG,3192336.933659177,961.204425168975538533
dymvaloper1swmv950astgu5k2j6jdkshhflqpq6yjfexed0y,ValiDAO,2926442.3186318493,9964.958735214171789944
dymvaloper1l6j00uq22yf09yxju8mkx4c2kk7a6h42w6sc8t,Swiss Staking,2776542.6106014596,798.654521134713792573
dymvaloper10xs07qjkgv94rh6mhm6jppfeq79xf2j83ltw00,Samanvay,2533387.6762970216,757.073439608564147897
dymvaloper1yhzdxg49u0ce2e8pkagf6vlz6j3uhr8vdapfs0,Imperator.co,2309299.821619999,1456.000000000000000654
dymvaloper1p7yzq8ltesa785yhq227urqcmfthvujy9v0srz,Forbole,2219052.5946855936,656.355436655189268770
dymvaloper1vmzs5lq0kanz96nmr86d05kx4y3nrhsshn6lqa,Stakecito,2107343.851548383,3413.000000000000000597
dymvaloper1skc8aut895jvg4hdxx7q89sus5x63ede6erjkj,NacionCrypto - Parceros,1942809.4696546318,5959.000000000000000546
dymvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57za0rqa4, Lavender.Five Nodes 🐝,1556533.6170028625,1203.440604246195348560
dymvaloper12qeeprgtt42ujha56pp4kcnv0hpfy0kgvzwqef,Qubelabs,1517716.0001630962,1572.472705299904575272
dymvaloper1t7fxprq2m4p39u66knge4t6ftw3c8vqremwuuy,P-OPS Team,1473745.9445313625,5285.000000000000000414
dymvaloper1en26ajexy4zvm6gpvfpyukuvvzmes20nvjzzpe,BinanceNode,1401379.1355988772,1549.496930183098766129
dymvaloper14zatq4jagqtm9ejgvglnv0t364d88u80h99m64,Frens (🤝 🤝),1320530.5439314146,752.843763299050407348
dymvaloper1sadsshcnm9xxln6g6wewhxfh7tj6mhdyvrfpnu,HoodRun,1145237.597638273,678.059561797803555960
