operator,name,totalStake,reward
dymvaloper1qm9jk0wekq2tnrzcmxmkx7w7plfj9a4a244p8t,💎🤲,36366775.86498878,21853.466380953418514113
dymvaloper1nd3qxp7xec90n9exr4ua3v26r940pl9n80mvfd,Big Brain Staking,36010939.7730002,10466.570292205835587677
dymvaloper147x6wpqs9gm7zdhm5kv86sz69040764nrywad6,Fault Tolerance,33510036.48086965,12218.156686434473508394
dymvaloper18kzrg5azahrspkyr9jym3gcqkmkl8shapjwy06,Decentrio,32667673.123666912,9898.493347882203972251
dymvaloper1zetpjpuf9sd8mjtmajrrnjl5hnfagqv07ctzn6,Maxtake,31505934.64104835,443875.000000000000022354
dymvaloper1ndvrerl6q8ttg2932ps4jqj56akjrc3zd7f7qp,Hex Technologies,25500229.02288883,7479.910839750391459614
dymvaloper1eq8un3tcrhd85s39jlc734epqc2euzvzewuzg3,BwareLabs,20341999.819291208,7020.000000000000004330
dymvaloper1rd4099mt9e2kq0nces9maljqyva97wpuu6ppkr,Astral Nodes,16894956.520704202,20997.952262882246438581
dymvaloper1t4fq50edupaeqfdx3lqu23panqmuf0mmq768zs,Twinstake,15716952.301937401,4568.013409230301197180
dymvaloper1fz6gwt0hug8hj5j74sf3vtj2vnjuzunk59ac6w,Cumulo,15492741.098281661,2646.985620641323133941
dymvaloper1ls3yrfn5te2gcc3mxcj5xpg07cfh6r3qn076vu,Cosmostaking,15030068.721496178,5090.799815417940148428
dymvaloper1tdwdzhyxqd9mdnywfh6sc3dl3926rvnuqq98fh,alphab.ai,12637972.669824358,2184.000000000000001794
dymvaloper1vr9j6wn93malnqp8kz5d8660sjpjktdsdmh5ug,Cosmostation,11871627.264830895,6117.000000000000001694
dymvaloper1ufh97qcc4ksupz07gzqdha72j3fwc5l27zhlv0,LuckyResearch.org,11346601.141236894,2339.000000000000001601
dymvaloper1taava3hdv33ps7es7yvwjx7x08lzz3s2mqfp6v,𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,10768040.302581623,2531.000000000000001528
dymvaloper17uy3qg4upadxzd5q6ztcmcncm3n7hdtm8yrgrc,Blockscope.net,10540436.623769524,2364.000000000000001497
dymvaloper1rnxezglxwhppgdh7n8yk5tcuenqqenvrxyhyue,Validatrium.com,10446464.577361463,3381.000000000000001483
dymvaloper1f33a6vpcfdrg0cukwn89sd2mjkztaf7et0tnu0,Wetez,10438186.0222248,2408.000000000000001482
dymvaloper1edyh6h0d8kyyv2lkgsdmxuf8qjv42lqf0zwpyc,Luganodes,10427638.715408225,2117.000000000000001480
dymvaloper16vz54egcjh7du0wq04yssk6gzlefu6yw230gg6,MZONDER,10140848.022290073,1449.564844700543328691
dymvaloper10yu9ul3v8gqntv9h3z3nl09qs8dcguesfvar8a,Silk Nodes,10008543.174548293,10537.423046672888482153
dymvaloper1symf474wnypes2d3mecllqk6l26rwz8masyuth,BlockHunters 🎯,9894796.172978366,1826.120179560409094665
dymvaloper1jpvku8u4al5kx4zm3hqm9j9faw3qhx6ss4ueq9,NodeStake,6920098.810967843,1295.838106920591762847
dymvaloper1ulez27lxpfrpnfqdtgjxgdhr6fz42mgppq8rzv,PRYZM | StakeDrop,6886691.89223722,1177.896560524412470931
dymvaloper1vsef0kw7ng03w5evv6s3wzcf2nce85zccj44r4,Node.Monster,5694547.390781918,2709.015558858993201209
dymvaloper1pnt0h7q2htmmxprdxgwx9qkatv8slydc2gekpg,polkachu.com,5479752.585485266,1759.626675454752320514
dymvaloper1m6qqexve6afkr8v25895ccjegc0k2zeladeyhh,Encode Club,4754321.617425634,7035.000000000000000675
dymvaloper1ema6flggqeakw3795cawttxfjspa48l4x0e2mh,Chorus One,4305733.28513997,3792.999581844716480421
dymvaloper127eg9tu95jqvphdz287qu00wcteqqj4h70eh8f,Range,4009674.560458502,1253.000000000000000569
dymvaloper1zx4p8utcjlzj2xuksxnvcj4r3cvdu2cxaqyn60,Enigma,3850374.5870579258,1227.000000000000000553
dymvaloper1vmzs5lq0kanz96nmr86d05kx4y3nrhsshn6lqa,Stakecito,3836257.020025284,726.000000000000000517
dymvaloper1s994z2zh3w5erccv38k0h962avesgcfznrxkfs,Nocturnal Labs,3301209.9941101735,1049.891905932792629004
dymvaloper1h7222cz3y7hh9u9fym73a6xqw6keggkwgsq39a,KudasaiJP,3261355.9219962973,479.466357068222816027
dymvaloper15ck9au82yp6rz36gvfnx3w5zpgspguttuvw5z8,Keplr,3215322.9468526104,912.108650365312349314
dymvaloper1swmv950astgu5k2j6jdkshhflqpq6yjfexed0y,ValiDAO,2740681.228346801,937.000000000000000399
dymvaloper17kmuknu4f3sqfhqtzpx0znnz3nuh5slwcqz6cg,P2P.ORG,2702912.803261168,459.282005353851472823
dymvaloper10xs07qjkgv94rh6mhm6jppfeq79xf2j83ltw00,Samanvay,2523964.4192764834,451.178430110987032412
dymvaloper1skc8aut895jvg4hdxx7q89sus5x63ede6erjkj,NacionCrypto - Parceros,2397103.602041811,6704.000000000000000336
dymvaloper1l6j00uq22yf09yxju8mkx4c2kk7a6h42w6sc8t,Swiss Staking,2214628.2393079884,782.112073701972052736
dymvaloper1t7fxprq2m4p39u66knge4t6ftw3c8vqremwuuy,P-OPS Team,2212644.123526987,6004.000000000000000315
dymvaloper1vtf9ytvqg8k7n3hx7rt7fezktg7przxmeduldc,AVIAONE.com 🟢,1967882.1500338158,290.517377308397802435
dymvaloper1yhzdxg49u0ce2e8pkagf6vlz6j3uhr8vdapfs0,Imperator.co,1846746.1704445428,2129.000000000000000268
dymvaloper15un289g5slwzt77cpww53454lthfalpm3gsap0,Inter Blockchain Services,1760118.3249115297,316.412592542083484480
dymvaloper192a6ttzqxu9hcmm6lh6nrv9jx7am27j9q7cyau,✅ CryptoCrew Validators,1717090.0748046737,660.000000000000000244
dymvaloper1p7yzq8ltesa785yhq227urqcmfthvujy9v0srz,Forbole,1482058.8833128368,221.328204256004057179
dymvaloper1en26ajexy4zvm6gpvfpyukuvvzmes20nvjzzpe,BinanceNode,1402345.5477704664,241.680643543574900680
dymvaloper12qeeprgtt42ujha56pp4kcnv0hpfy0kgvzwqef,Qubelabs,1368882.1657208023,251.883208168116081120
dymvaloper1sadsshcnm9xxln6g6wewhxfh7tj6mhdyvrfpnu,HoodRun,1220819.0918469266,281.000000000000000175
dymvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57za0rqa4, Lavender.Five Nodes 🐝,1215169.7184875736,553.000000000000000175
dymvaloper14zatq4jagqtm9ejgvglnv0t364d88u80h99m64,Frens (🤝 🤝),1190879.8643068997,321.398831855339688690
dymvaloper1lsjs7pwll7pqm40namkyx3e5qdwg0v0swrshud,POSTHUMAN | StakeDrop,1033018.6277183725,166.486075083400664814
dymvaloper1gd3n56lfg5nc7fgzsk7elzyl8d4nk8cuy4kprg,NIM NETWORK,1020077.8991567047,271.000000000000000232
dymvaloper1np8k8qumgekmj75pjz5rcqf483v9rlfxhjfnaq,silent,981639.2793723295,858.594240806027537418
dymvaloper128sljm393cl62zwttfdkm65pkaz56gt0zf79sp,Pro-Nodes75,963729.5889803229,140.550624535516650893
dymvaloper1xlnlh2uxsg3wl0skudqeeykkh4ku69jeaw6n9l,Rues,952801.038551975,319.812503789479458855
dymvaloper15yh22qgvswsa4hg7k3ga8759m5s56a8mur5lls,Staked,885542.5915107514,130.612086125802792312
dymvaloper1tvn903vynfslcfy5jvwt2n667vunx4y8qxrsf5,Bro_n_Bro,824268.2985469811,135.399282301774478223
dymvaloper16ltrfvx4d707vnmg7saaduedr647rcmj3gxsyt, kjnodes.com 🦄,685281.9650777451,99.737980829317948403
dymvaloper18mg35pdmzv52ukqznfetatj0v9p94w9smnp9yd,PathrockNetwork,649120.2276872538,516.805049218470583065
dymvaloper1pex4h49yyp6ypcaffjw54kqdfh68valv7ljpgu,NakoTurk,596674.3578281251,169.040909534604846747
dymvaloper1ycsjsqqucdyvl2560y7y2yhfjaj0vvta4v7hm3,01node,574428.5388731946,1886.000000000000000082
