operator,name,totalStake,reward
dymvaloper1nd3qxp7xec90n9exr4ua3v26r940pl9n80mvfd,Big Brain Staking,35910062.87650003,9795.191157628437600818
dymvaloper147x6wpqs9gm7zdhm5kv86sz69040764nrywad6,Fault Tolerance,33506388.117617764,16301.594517583500432517
dymvaloper18kzrg5azahrspkyr9jym3gcqkmkl8shapjwy06,Decentrio,32637796.22552071,17306.000000000000008724
dymvaloper1kugynr06tvqxlgqqv4cx6umdn087mc0qdqwznt,Sanchezz,32350995.298110105,8807.937967701282558178
dymvaloper1qm9jk0wekq2tnrzcmxmkx7w7plfj9a4a244p8t,💎🤲,31414997.129487872,22436.837105422063665284
dymvaloper1t4fq50edupaeqfdx3lqu23panqmuf0mmq768zs,Twinstake,30387540.20305121,8254.806206412175038396
dymvaloper1zetpjpuf9sd8mjtmajrrnjl5hnfagqv07ctzn6,Maxtake,30020777.294427987,485178.000000000000020648
dymvaloper1ndvrerl6q8ttg2932ps4jqj56akjrc3zd7f7qp,Hex Technologies,25458851.683757983,7868.999163908829474334
dymvaloper1m6qqexve6afkr8v25895ccjegc0k2zeladeyhh,Encode Club,24771636.90996101,11651.000000000000003309
dymvaloper1rd4099mt9e2kq0nces9maljqyva97wpuu6ppkr,Astral Nodes,24505835.88120568,11554.140487169102746152
dymvaloper1eq8un3tcrhd85s39jlc734epqc2euzvzewuzg3,BwareLabs,20337545.671311785,4908.000000000000004077
dymvaloper17uy3qg4upadxzd5q6ztcmcncm3n7hdtm8yrgrc,Blockscope.net,19018870.66647016,3502.057387846692070328
dymvaloper1fz6gwt0hug8hj5j74sf3vtj2vnjuzunk59ac6w,Cumulo,16863496.480426766,2503.328298784705085141
dymvaloper1symf474wnypes2d3mecllqk6l26rwz8masyuth,BlockHunters 🎯,15274639.845429238,2648.898684653414020637
dymvaloper1ls3yrfn5te2gcc3mxcj5xpg07cfh6r3qn076vu,Cosmostaking,15026733.757048365,3921.586987207398061262
dymvaloper16vz54egcjh7du0wq04yssk6gzlefu6yw230gg6,MZONDER,13315428.636398373,1608.970781205393589218
dymvaloper1ufh97qcc4ksupz07gzqdha72j3fwc5l27zhlv0,LuckyResearch.org,12086581.424568482,2899.844604230924884221
dymvaloper1vr9j6wn93malnqp8kz5d8660sjpjktdsdmh5ug,Cosmostation,11621705.00775794,9213.109591446345855536
