operator,name,totalStake,reward
dymvaloper1nd3qxp7xec90n9exr4ua3v26r940pl9n80mvfd,Big Brain Staking,36183561.81145521,52136.668765016070187337
dymvaloper1zetpjpuf9sd8mjtmajrrnjl5hnfagqv07ctzn6,Maxtake,36093306.98817069,151892.000000000000111633
dymvaloper1qm9jk0wekq2tnrzcmxmkx7w7plfj9a4a244p8t,💎🤲,34688701.40925794,89303.809714272700689069
dymvaloper1fz6gwt0hug8hj5j74sf3vtj2vnjuzunk59ac6w,Cumulo,28731459.389267474,19032.272137328059504011
dymvaloper1ndvrerl6q8ttg2932ps4jqj56akjrc3zd7f7qp,Hex Technologies,25675316.50539182,34757.705019766972954112
dymvaloper16vz54egcjh7du0wq04yssk6gzlefu6yw230gg6,MZONDER,18473552.330708366,8940.421529058254290022
dymvaloper1tdwdzhyxqd9mdnywfh6sc3dl3926rvnuqq98fh,alphab.ai,14963337.909718297,12088.000000000000009299
dymvaloper1t4fq50edupaeqfdx3lqu23panqmuf0mmq768zs,Twinstake,13801608.071671477,19916.959323797591688072
dymvaloper1vr9j6wn93malnqp8kz5d8660sjpjktdsdmh5ug,Cosmostation,12096024.89491063,15515.908512966599457286
dymvaloper17uy3qg4upadxzd5q6ztcmcncm3n7hdtm8yrgrc,Blockscope.net,11705582.420611888,10280.000000000000007514
dymvaloper1taava3hdv33ps7es7yvwjx7x08lzz3s2mqfp6v,𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,11580866.085701607,10232.000000000000007451
dymvaloper1hzcvcjmxts85rgk426x55czmscnzamdldr62h3,AndromedaPool,11577950.138978498,10243.000000000000007437
dymvaloper1f33a6vpcfdrg0cukwn89sd2mjkztaf7et0tnu0,Wetez,11396917.922572685,10079.000000000000007328
dymvaloper1ufh97qcc4ksupz07gzqdha72j3fwc5l27zhlv0,LuckyResearch.org,11209238.614428652,9949.000000000000007197
dymvaloper1rnxezglxwhppgdh7n8yk5tcuenqqenvrxyhyue,Validatrium.com,11203640.855904229,9829.820993699579245463
dymvaloper10yu9ul3v8gqntv9h3z3nl09qs8dcguesfvar8a,Silk Nodes,10730584.96428408,7666.345767721911562770
dymvaloper1edyh6h0d8kyyv2lkgsdmxuf8qjv42lqf0zwpyc,Luganodes,10549329.367816394,9221.210279546610637247
dymvaloper15ck9au82yp6rz36gvfnx3w5zpgspguttuvw5z8,Keplr,8606535.84756149,10944.448899942442372104
dymvaloper1symf474wnypes2d3mecllqk6l26rwz8masyuth,BlockHunters 🎯,8003081.282716148,6685.291744925243388710
dymvaloper1ulez27lxpfrpnfqdtgjxgdhr6fz42mgppq8rzv,PRYZM | StakeDrop,7856430.048145692,4841.577011708629054314
dymvaloper18kzrg5azahrspkyr9jym3gcqkmkl8shapjwy06,Decentrio,7303148.147805297,5027.482892277394727871
dymvaloper1jpvku8u4al5kx4zm3hqm9j9faw3qhx6ss4ueq9,NodeStake,7274873.709114872,4788.736865797313327248
dymvaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje98tnj5qa,Kahuna,6697557.89793195,5935.000000000000004337
dymvaloper1vsef0kw7ng03w5evv6s3wzcf2nce85zccj44r4,Node.Monster,5735620.13195989,7539.229999074390213103
dymvaloper1pnt0h7q2htmmxprdxgwx9qkatv8slydc2gekpg,polkachu.com,5408338.240046822,5202.382877567450278131
dymvaloper1ema6flggqeakw3795cawttxfjspa48l4x0e2mh,Chorus One,5134749.598039742,4139.801377068520356584
dymvaloper1zx4p8utcjlzj2xuksxnvcj4r3cvdu2cxaqyn60,Enigma,4552397.748800089,3193.292914018182170446
dymvaloper1swmv950astgu5k2j6jdkshhflqpq6yjfexed0y,ValiDAO,3762174.0004532365,4844.000000000000002458
dymvaloper1s994z2zh3w5erccv38k0h962avesgcfznrxkfs,Nocturnal Labs,3501079.984373868,1969.000000000000001945
dymvaloper1h7222cz3y7hh9u9fym73a6xqw6keggkwgsq39a,KudasaiJP,3413101.5953795365,2445.788253051720074938
dymvaloper17kmuknu4f3sqfhqtzpx0znnz3nuh5slwcqz6cg,P2P.ORG,3125208.2378750825,2003.000000000000001973
dymvaloper1l6j00uq22yf09yxju8mkx4c2kk7a6h42w6sc8t,Swiss Staking,3104295.3413448967,2056.001729116033580432
dymvaloper10xs07qjkgv94rh6mhm6jppfeq79xf2j83ltw00,Samanvay,2851020.664969339,1952.166678919298792129
dymvaloper1yhzdxg49u0ce2e8pkagf6vlz6j3uhr8vdapfs0,Imperator.co,2845712.5425727614,3329.922384971717004095
dymvaloper1p7yzq8ltesa785yhq227urqcmfthvujy9v0srz,Forbole,2474755.4983883332,1673.992475879107181192
dymvaloper1t7fxprq2m4p39u66knge4t6ftw3c8vqremwuuy,P-OPS Team,2193520.468797834,2848.000000000000001545
dymvaloper1skc8aut895jvg4hdxx7q89sus5x63ede6erjkj,NacionCrypto - Parceros,2171751.1547903065,2808.000000000000001398
dymvaloper1vmzs5lq0kanz96nmr86d05kx4y3nrhsshn6lqa,Stakecito,2154638.1355638416,1307.366542243781776341
dymvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57za0rqa4, Lavender.Five Nodes 🐝,2043244.4425570124,1573.305781416699801098
dymvaloper12qeeprgtt42ujha56pp4kcnv0hpfy0kgvzwqef,Qubelabs,1708713.4280488996,1163.072114463821676785
dymvaloper1sadsshcnm9xxln6g6wewhxfh7tj6mhdyvrfpnu,HoodRun,1696896.4270480867,1164.145826307596444571
dymvaloper14zatq4jagqtm9ejgvglnv0t364d88u80h99m64,Frens (🤝 🤝),1620361.6436794302,2005.000000000000001022
dymvaloper19w9y9sj2h87n35jdeclhgpujyh4wr7pkgtrymh,Staking4All,1509049.086341046,1991.116713975515101116
dymvaloper1hpxp6c4vqnmcuyea437cxndnz0k8y6ag3cxsua,HFA X Defi Dojo,1385443.1289997476,2310.608991137576165279
dymvaloper14hgapjkvp53fvpsu8exfe4c76z7wje6kkej429,kooltek68,1316948.8732263474,1491.682628925230625405
dymvaloper1tvn903vynfslcfy5jvwt2n667vunx4y8qxrsf5,Bro_n_Bro,1312781.8257171668,883.093158001247403553
dymvaloper1c6fykjedylh76ual2eymhdf0elqthmgke6lx2p,Wave,1297949.8839917555,910.780088904704612188
dymvaloper1eq8un3tcrhd85s39jlc734epqc2euzvzewuzg3,BwareLabs,1295727.352141637,893.419626328207523032
dymvaloper1pex4h49yyp6ypcaffjw54kqdfh68valv7ljpgu,NakoTurk,1226708.291968374,1615.000000000000000794
dymvaloper192a6ttzqxu9hcmm6lh6nrv9jx7am27j9q7cyau,✅ CryptoCrew Validators,1222031.4510195737,1090.000000000000000789
dymvaloper15un289g5slwzt77cpww53454lthfalpm3gsap0,Inter Blockchain Services,1217071.5609153372,794.294981476263200661
dymvaloper1kve2h033l0076emw2agvj4z5d2c7f98809mclz,Brightlystake,1182278.5998540395,1373.000000000000000799
dymvaloper18mg35pdmzv52ukqznfetatj0v9p94w9smnp9yd,PathrockNetwork,1168329.2265820059,812.517167536332705612
dymvaloper1np8k8qumgekmj75pjz5rcqf483v9rlfxhjfnaq,silent,1151114.7439779202,1057.859058136338668361
dymvaloper1vtf9ytvqg8k7n3hx7rt7fezktg7przxmeduldc,AVIAONE.com 🟢,1147473.0408207434,747.396376418396964202
dymvaloper16ltrfvx4d707vnmg7saaduedr647rcmj3gxsyt, kjnodes.com 🦄,1142920.5197273951,1196.227620379588119554
dymvaloper1th3wvhwjm9nn46a735gv37508hua8p9ekkz7f8,BoJack,1115056.397223886,802.851445447365596060
dymvaloper1ycsjsqqucdyvl2560y7y2yhfjaj0vvta4v7hm3,01node,1012005.7942795127,1273.866943646232195805
dymvaloper1xt4rtmvqq3pavwjqdgxh74ppczfj2h084rj58s,Coinstamp,987007.1120526035,684.212413632912076490
dymvaloper1vgptdq22lpjcdeh9a5fp29uzf3xuw93kl2pa3c,StingRay,919243.4947972911,604.519611152960712890
dymvaloper1thw8t8skc07sj5fyh9ggw4qachft6h8p9h4qwv,Huginn,904187.9758317223,584.284180543708952821
dymvaloper1en26ajexy4zvm6gpvfpyukuvvzmes20nvjzzpe,BinanceNode,900000,8.000000000000000008
dymvaloper1fg7n4w7ffg7vdn5kuaesfkpsg69dyjkgeutq3y,Crosnest,872538.9300752274,571.823861956224420207
dymvaloper1ywytnstry8v5ltd5z403edqplguejs7mqpe52l,Provalidator,854304.0758270507,1015.860528453560799138
dymvaloper1lsjs7pwll7pqm40namkyx3e5qdwg0v0swrshud,POSTHUMAN | StakeDrop,847409.3235780441,546.929884231532454809
dymvaloper1qy47z0x6umvjpejvvp32red2qvkcc4jgvel5vz,Tecnodes,832141.8096000891,540.639232480452708496
dymvaloper1p3rmldcg8tpk26p67zv6z7u56yhtl2zsyfj8mx,Kalia Network,818541.3692048845,1028.330642197013408219
dymvaloper1h6tsxct5wy62d5yvaenkysywrz42thp3nma052,Moonlet,816777.6911429056,1020.000000000000000525
dymvaloper1n7g5mymqankqqvdt6nc9qt89vrjs899kunflht,HashKey Cloud,805019.9224652615,1751.000000000000001035
dymvaloper1p87xgcekkkpp783xl5wu48p0dw2p2duru5ul9n,CoinHunters,803614.7851799197,588.681826666705901435
dymvaloper1xlnlh2uxsg3wl0skudqeeykkh4ku69jeaw6n9l,Rues,776379.74837105,761.253950155454810265
dymvaloper1amxp0k0hg4edrxg85v07t9ka2tfuhamhldgf8e,🔥STAVR🔥 REStake ON✅,762114.273031041,485.921397733241529307
dymvaloper1j9srl2kx3g7jkzd9zdekp48nha8zvlj46ac0vc,Restake,756295.8318235049,1064.455031238031049182
dymvaloper1z8dewhura5yswqevj6733yaae0v0lhgp4uh7nq,Nodes.Guru,717062.4495877579,1669.655079634128448431
dymvaloper16eu7dmkxrtq5207tyudx8agnlu8k5qua7vqs4y,Active Nodes,709585.5895655922,492.000000000000000456
dymvaloper1ptqatglfxu7c9nnu30fr4v0j9k3h35sd2zh7nd,Meria,706718.415501757,928.657709197244603731
dymvaloper139fgwkjyxz8056mqrf3gqfm39wenkvv4z0sah2,BloClick,678817.5206504648,439.899223609801337127
dymvaloper128sljm393cl62zwttfdkm65pkaz56gt0zf79sp,Pro-Nodes75,663779.4352993122,707.955186580837383323
dymvaloper15yh22qgvswsa4hg7k3ga8759m5s56a8mur5lls,Staked,655933.6920726139,840.531029815689229930
dymvaloper19ht2v27n4uw37x3jp8pdkwccs26l8zxfe0tjwp,SECARD,654085.3617469065,592.021770285077740992
dymvaloper12dcwljddj8u4402lt08quyxvh6vh7aj5umujct,Lefey,646847.8543427327,416.354440190014443157
dymvaloper1t69jjaa75suk35eda0fd2zjpqkr6qq4jjl87pq,jayjay,645761.8356162133,418.985203117854961046
dymvaloper1d6frzdlgq8tq5hsmpty7hcnl0jf9q3pjcgz2t6,AgoraNodes,608621.6269101723,720.000000000000000426
dymvaloper1her95p3up7kf4eqprd0hmdn8w860w87qkecmmm,Kynraze,607930.4204080952,888.829139472050500743
dymvaloper17pnxdyj9th042zfk9ehxwk5hn3hxz2frvysm3k,ContributionDAO,578836.2430446605,517.000000000000000372
dymvaloper1c8c8a7en2qffh83mqw0t2fq7ey7ln5l765qmhd,AutoStake 🛡️ Slash Protected,572168.0058031833,403.221267574541073113
dymvaloper1jdspdmphxkn4mjvpfxz4wemwz9lecvf0wguats,TAKESHI,527909.031510162,339.649850903649595540
dymvaloper1cxgzx0e4w2ryalgtee2yfqwppg4xgfdy63p4h0,NODEJUMPER,524769.5132921425,336.742308599923158075
dymvaloper1dg73hcnt00uhsuffakkjyth8qz2un40486h92f,1ce,520163.49856501544,363.394030410474014555
dymvaloper1mgu88mkl88q5l9h6wvzus7ul2fc263g4hpt2mj,VNBNODE,512574.016939989,335.789573078015140420
dymvaloper1ta56hcqaxj55wu8emarnw090gk5uq4366uz572,[NODERS],511172.96080151986,434.331404178333747202
dymvaloper14dma5d4fyk4jpyqnq3gu3u3amyqczn0jzfrws2,Allnodes,421364.1133980151,632.440556492590038692
dymvaloper18sz4e4ahphh9mjj62gug20h2ka0g5e5pajcmz9,⭐️ PPNV Service ⭐️,372733.592629889,484.671519310206611651
dymvaloper1rfvyaaz3vudpsgjn6rtrjh85t0fjrggxr32nce,Stake&Relax 🦥,371044.48910870333,258.673072882909918586
dymvaloper1pncst8xyy86956pgjejk4yfnn7ls89dzhkmw5f,Jaha,343842.9100814986,244.258534257231107686
dymvaloper1dq745p6w7juw6s8xwh8xethfxwxn9uv0efu3cr,deNodes,332387.38278530224,212.592785678875113932
dymvaloper127chaf96mtdz33aqqnqmgnxtuas9d78pdalr5j,CroutonDigital,309454.8813892386,401.498849799372764044
dymvaloper1nk4vsmte3yr4ku28cr56xlgfvaz058fn49hkxa,Hexnodes,266974.7352438473,303.661827034859712263
dymvaloper1e34nfdhhk7t5lh37shj4fymrhne9hs5mcth3h8,F5 Nodes,173131,4.000000000000000000
dymvaloper1qlurl7qwvv8whj46h29pzej0ymqn7ts0ct7459,StakeUp,6243.305954615331,0.000000000000000000
dymvaloper1fy8uv0aqr7t5uvhdus9qhg5myepagvrk7sct9x,Smart Stake 📈📊,1572.35414794,
dymvaloper1u9xeaqdjz3kky2ymdhdsn0ra5uy9tc3ezrzymt,Kiln,1,0.000000000000000000
dymvaloper1gd3n56lfg5nc7fgzsk7elzyl8d4nk8cuy4kprg,NIM NETWORK,1,
dymvaloper127eg9tu95jqvphdz287qu00wcteqqj4h70eh8f,Range,1,
dymvaloper1rd4099mt9e2kq0nces9maljqyva97wpuu6ppkr,Astral Nodes,0.3,
dymvaloper1h2gtpt759se852squgywf5zl2jv9q6qsxj3e0h,jardeux,0,
dymvaloper122n2r4f0y6ud5d4s7hlw9pjxuskjlc4x4zrjsy,JW Node,0,
dymvaloper1nmmm3hg5yke99k2x3ff7djtxfkj5f4gkt74a3q,0xHub,0,
dymvaloper1xr6j9zepn3vwlvavzkjc20gt5gx6rudmnftpuu,bigbossmum_577764-1,0,
dymvaloper1gkq6zsdzuf0gnah7h8lwfqfhh3qt5uthws2599,🐱KittyVerse🐱,0,
dymvaloper1ngrdd47ngyfewld7djqs5p8xvas8znnpxv44hh,enzifiri,0,
dymvaloper1ufc9rudgvh7fh29p7pazld3zxt2tnpe4knwr6z,Equinox,0,
dymvaloper158jtup3hqzyhm4mvl85m4wswkjwg4nft6s3j52,owlstake,0,
dymvaloper1hnjgqfupe7xy5cmjffu56fkpu4uva9sluh7mkh,molla202,0,
dymvaloper1gew0wjyl2praxsu8n3fq939hfchtrymeapue7k,StakeCapital,0,
dymvaloper1ls3yrfn5te2gcc3mxcj5xpg07cfh6r3qn076vu,Cosmostaking,0,
dymvaloper147x6wpqs9gm7zdhm5kv86sz69040764nrywad6,Fault Tolerance,0,
dymvaloper1m6qqexve6afkr8v25895ccjegc0k2zeladeyhh,Encode Club,0,
dymvaloper1kugynr06tvqxlgqqv4cx6umdn087mc0qdqwznt,Sanchezz,0,
dymvaloper173n9w966yuz9e43un3fvyf8wq4yp8yhkcvt3e7,SenseiNode,0,
dymvaloper1unpjfks76h7attl2326hz27lpuvhj33nexn7qu,tekin86,0,
dymvaloper1klq6n72844pq4pwqg9cwr34y997fn5wtx3y25f,WhisperNode 🤐,0,
dymvaloper1x4dhky07zxuaew2ru7tgvtd68vjk3x56w5p5lh,The_Cybernetics,0,
dymvaloper1n5lavsd8qhtfwr5w4svd68kvu5s9gjxs50jqts,monivong,0,
dymvaloper1s60cwqtxxa2c5srqh886rt9v9m6w9q4nwyr990,intruder,0,
