operator,name,totalStake,reward
dymvaloper1nd3qxp7xec90n9exr4ua3v26r940pl9n80mvfd,Big Brain Staking,36057025.44879796,25684.904836780966558851
dymvaloper1qm9jk0wekq2tnrzcmxmkx7w7plfj9a4a244p8t,💎🤲,34375712.42446974,50068.731355943363883421
dymvaloper1zetpjpuf9sd8mjtmajrrnjl5hnfagqv07ctzn6,Maxtake,30881399.786319565,340848.000000000000046479
dymvaloper1rd4099mt9e2kq0nces9maljqyva97wpuu6ppkr,Astral Nodes,25990742.634973932,37365.016281509728636639
dymvaloper1ndvrerl6q8ttg2932ps4jqj56akjrc3zd7f7qp,Hex Technologies,25534790.06742282,24739.287416717358197749
dymvaloper147x6wpqs9gm7zdhm5kv86sz69040764nrywad6,Fault Tolerance,18007978.638710562,8162.942495289179355934
dymvaloper1eq8un3tcrhd85s39jlc734epqc2euzvzewuzg3,BwareLabs,16047773.88773106,2307.403331121877700695
dymvaloper1t4fq50edupaeqfdx3lqu23panqmuf0mmq768zs,Twinstake,15221636.965432594,10640.274198460701218462
dymvaloper18kzrg5azahrspkyr9jym3gcqkmkl8shapjwy06,Decentrio,14295755.83893072,12304.000000000000004979
dymvaloper1vr9j6wn93malnqp8kz5d8660sjpjktdsdmh5ug,Cosmostation,12066383.188260915,5399.000000000000004225
dymvaloper1tdwdzhyxqd9mdnywfh6sc3dl3926rvnuqq98fh,alphab.ai,11973222.35152772,7465.846384729486813966
dymvaloper1hzcvcjmxts85rgk426x55czmscnzamdldr62h3,AndromedaPool,11061185.388886023,5168.000000000000003853
dymvaloper1f33a6vpcfdrg0cukwn89sd2mjkztaf7et0tnu0,Wetez,11014582.116394153,7109.233093599408347417
dymvaloper17uy3qg4upadxzd5q6ztcmcncm3n7hdtm8yrgrc,Blockscope.net,10907362.24817458,6248.790667742733001031
dymvaloper1ufh97qcc4ksupz07gzqdha72j3fwc5l27zhlv0,LuckyResearch.org,10809868.566334967,6221.190548364170020459
dymvaloper1taava3hdv33ps7es7yvwjx7x08lzz3s2mqfp6v,𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,10778653.69617401,6196.643008122154503629
dymvaloper1rnxezglxwhppgdh7n8yk5tcuenqqenvrxyhyue,Validatrium.com,10761790.867000753,6190.037121116448185063
dymvaloper10yu9ul3v8gqntv9h3z3nl09qs8dcguesfvar8a,Silk Nodes,10422152.062471084,4195.000000000000003637
dymvaloper1edyh6h0d8kyyv2lkgsdmxuf8qjv42lqf0zwpyc,Luganodes,10413450.640873611,5707.000141988904309671
dymvaloper1symf474wnypes2d3mecllqk6l26rwz8masyuth,BlockHunters 🎯,9795379.68961177,4050.672523664195820277
dymvaloper16vz54egcjh7du0wq04yssk6gzlefu6yw230gg6,MZONDER,9784290.11375996,5939.778587414131534097
dymvaloper1fz6gwt0hug8hj5j74sf3vtj2vnjuzunk59ac6w,Cumulo,8332050.924084129,6549.964413656700216556
dymvaloper1ulez27lxpfrpnfqdtgjxgdhr6fz42mgppq8rzv,PRYZM | StakeDrop,7873407.393787098,3301.004917673725691901
dymvaloper1jpvku8u4al5kx4zm3hqm9j9faw3qhx6ss4ueq9,NodeStake,7058800.980417403,2614.350517319353274326
dymvaloper1vsef0kw7ng03w5evv6s3wzcf2nce85zccj44r4,Node.Monster,5725248.791231084,4339.186904604355729761
dymvaloper1pnt0h7q2htmmxprdxgwx9qkatv8slydc2gekpg,polkachu.com,5286031.464686295,3951.418142883044289996
dymvaloper1m6qqexve6afkr8v25895ccjegc0k2zeladeyhh,Encode Club,4755614.658699347,4087.000000000000001303
dymvaloper1zx4p8utcjlzj2xuksxnvcj4r3cvdu2cxaqyn60,Enigma,4309906.301892674,2205.624042170398897255
dymvaloper1ema6flggqeakw3795cawttxfjspa48l4x0e2mh,Chorus One,4291878.939218176,6800.438824193626985143
dymvaloper127eg9tu95jqvphdz287qu00wcteqqj4h70eh8f,Range,4005460.5183089348,3775.000000000000001395
dymvaloper1s994z2zh3w5erccv38k0h962avesgcfznrxkfs,Nocturnal Labs,3449123.192598645,2569.814329885032142467
dymvaloper15ck9au82yp6rz36gvfnx3w5zpgspguttuvw5z8,Keplr,3392962.9955789703,2023.034756125113912139
dymvaloper1h7222cz3y7hh9u9fym73a6xqw6keggkwgsq39a,KudasaiJP,3391562.931188694,1613.529771660136365442
dymvaloper17kmuknu4f3sqfhqtzpx0znnz3nuh5slwcqz6cg,P2P.ORG,3190148.33818307,2372.660027240876990216
dymvaloper1swmv950astgu5k2j6jdkshhflqpq6yjfexed0y,ValiDAO,3136966.0161355687,9134.000000000000001126
dymvaloper1l6j00uq22yf09yxju8mkx4c2kk7a6h42w6sc8t,Swiss Staking,2838770.9465375566,2127.714617751130677051
dymvaloper10xs07qjkgv94rh6mhm6jppfeq79xf2j83ltw00,Samanvay,2637373.5627642083,948.170750651577570598
dymvaloper1yhzdxg49u0ce2e8pkagf6vlz6j3uhr8vdapfs0,Imperator.co,2489918.8919532606,4415.485036471975150545
dymvaloper1p7yzq8ltesa785yhq227urqcmfthvujy9v0srz,Forbole,2374079.725845472,847.903958526962657148
dymvaloper1vmzs5lq0kanz96nmr86d05kx4y3nrhsshn6lqa,Stakecito,2265242.583660386,2816.000000000000000801
dymvaloper1skc8aut895jvg4hdxx7q89sus5x63ede6erjkj,NacionCrypto - Parceros,2070163.7818271322,5413.000000000000000730
dymvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57za0rqa4, Lavender.Five Nodes 🐝,1808266.3255702408,750.000000000000000667
dymvaloper12qeeprgtt42ujha56pp4kcnv0hpfy0kgvzwqef,Qubelabs,1656918.4277857302,1142.000000000000000589
dymvaloper1t7fxprq2m4p39u66knge4t6ftw3c8vqremwuuy,P-OPS Team,1587483.1084525513,4871.000000000000000555
dymvaloper14zatq4jagqtm9ejgvglnv0t364d88u80h99m64,Frens (🤝 🤝),1446149.0961860032,3902.204817018162154592
