operator,name,totalStake,reward
dymvaloper1qm9jk0wekq2tnrzcmxmkx7w7plfj9a4a244p8t,💎🤲,36874257.53029449,72312.188330100160001469
dymvaloper1nd3qxp7xec90n9exr4ua3v26r940pl9n80mvfd,Big Brain Staking,36194006.39794223,35679.399561349819157569
dymvaloper1zetpjpuf9sd8mjtmajrrnjl5hnfagqv07ctzn6,Maxtake,34009718.50672789,235244.000000000000086340
dymvaloper1ndvrerl6q8ttg2932ps4jqj56akjrc3zd7f7qp,Hex Technologies,25515150.64066133,34166.108336641818184960
dymvaloper1fz6gwt0hug8hj5j74sf3vtj2vnjuzunk59ac6w,Cumulo,25388366.303304918,13754.876616071510138717
dymvaloper16vz54egcjh7du0wq04yssk6gzlefu6yw230gg6,MZONDER,17803458.51640687,8739.597202499844042305
dymvaloper1rd4099mt9e2kq0nces9maljqyva97wpuu6ppkr,Astral Nodes,16952305.940943852,11050.000000000000011050
dymvaloper1tdwdzhyxqd9mdnywfh6sc3dl3926rvnuqq98fh,alphab.ai,15025451.667583352,19086.698766487032358685
dymvaloper1t4fq50edupaeqfdx3lqu23panqmuf0mmq768zs,Twinstake,14447662.061742509,13900.227533554247377813
dymvaloper1vr9j6wn93malnqp8kz5d8660sjpjktdsdmh5ug,Cosmostation,12162697.936813356,8340.743456898507833628
dymvaloper1taava3hdv33ps7es7yvwjx7x08lzz3s2mqfp6v,𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,11187133.674233101,15453.680028297774205717
dymvaloper1rnxezglxwhppgdh7n8yk5tcuenqqenvrxyhyue,Validatrium.com,11162964.489924699,12307.324959905586856592
dymvaloper1hzcvcjmxts85rgk426x55czmscnzamdldr62h3,AndromedaPool,11057788.49159462,15578.682130354639179068
dymvaloper1f33a6vpcfdrg0cukwn89sd2mjkztaf7et0tnu0,Wetez,11017173.212973177,15374.576893307640611844
dymvaloper17uy3qg4upadxzd5q6ztcmcncm3n7hdtm8yrgrc,Blockscope.net,10913090.282314308,15537.131591710694131268
dymvaloper1ufh97qcc4ksupz07gzqdha72j3fwc5l27zhlv0,LuckyResearch.org,10812587.293593677,15154.309483855749873198
dymvaloper10yu9ul3v8gqntv9h3z3nl09qs8dcguesfvar8a,Silk Nodes,10483560.917426068,5757.905778532547347078
dymvaloper1edyh6h0d8kyyv2lkgsdmxuf8qjv42lqf0zwpyc,Luganodes,10392768.530496737,8954.343549385838909455
dymvaloper1symf474wnypes2d3mecllqk6l26rwz8masyuth,BlockHunters 🎯,9808717.594560668,5846.909562755178570211
dymvaloper1ulez27lxpfrpnfqdtgjxgdhr6fz42mgppq8rzv,PRYZM | StakeDrop,8666814.992397783,4381.261923956138771031
dymvaloper18kzrg5azahrspkyr9jym3gcqkmkl8shapjwy06,Decentrio,7303435.259234989,6586.941827010683102135
dymvaloper1jpvku8u4al5kx4zm3hqm9j9faw3qhx6ss4ueq9,NodeStake,7210843.67313931,3599.882283883985911009
